IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.191.106.181,2083,80,false,ORD,North America,Chicago,211,0.00
52.12.66.119,443,80,false,ORD,North America,Chicago,192,0.00
35.92.242.217,2096,80,false,ORD,North America,Chicago,199,0.00
34.222.229.251,2083,80,false,ORD,North America,Chicago,206,0.00
35.94.148.189,2087,80,false,ORD,North America,Chicago,204,0.00
35.93.29.243,2052,80,false,ORD,North America,Chicago,203,0.00
34.222.229.251,2052,80,false,ORD,North America,Chicago,201,0.00
34.222.229.251,2087,80,false,ORD,North America,Chicago,213,0.00
54.191.106.181,80,80,false,ORD,North America,Chicago,211,0.00
34.222.229.251,2053,80,false,ORD,North America,Chicago,212,0.00
34.209.235.232,2053,80,false,ORD,North America,Chicago,194,0.00
52.12.66.119,80,80,false,ORD,North America,Chicago,212,0.00
34.222.229.251,8443,80,false,ORD,North America,Chicago,212,0.00
54.214.97.254,80,80,false,ORD,North America,Chicago,202,0.00
54.214.97.254,2096,80,false,ORD,North America,Chicago,201,0.00
54.191.106.181,8443,80,false,ORD,North America,Chicago,211,0.00
54.214.97.254,2082,80,false,ORD,North America,Chicago,201,0.00
54.214.97.254,2087,80,false,ORD,North America,Chicago,208,0.00
54.202.185.252,2052,80,false,ORD,North America,Chicago,194,0.00
34.209.235.232,8880,80,false,ORD,North America,Chicago,202,0.00
54.214.97.254,8880,80,false,ORD,North America,Chicago,213,0.00
54.214.97.254,2083,80,false,ORD,North America,Chicago,192,0.00
54.214.97.254,2086,80,false,ORD,North America,Chicago,210,0.00
54.214.97.254,8080,80,false,ORD,North America,Chicago,201,0.00
34.222.229.251,443,80,false,ORD,North America,Chicago,204,0.00
52.12.66.119,2053,80,false,ORD,North America,Chicago,208,0.00
35.94.148.189,80,80,false,ORD,North America,Chicago,201,0.00
35.92.242.217,2082,80,false,ORD,North America,Chicago,203,0.00
54.214.97.254,8443,80,false,ORD,North America,Chicago,194,0.00
35.93.190.39,2082,80,false,ORD,North America,Chicago,203,0.00
34.222.229.251,80,80,false,ORD,North America,Chicago,211,0.00
34.222.229.251,2095,80,false,ORD,North America,Chicago,202,0.00
35.93.190.39,443,80,false,ORD,North America,Chicago,203,0.00
35.93.4.236,443,80,false,ORD,North America,Chicago,194,0.00
54.202.185.252,8443,80,false,ORD,North America,Chicago,202,0.00
18.132.209.12,443,80,false,ORD,North America,Chicago,160,0.00
52.12.66.119,2082,80,false,ORD,North America,Chicago,208,0.00
52.12.66.119,8880,80,false,ORD,North America,Chicago,201,0.00
52.12.66.119,8443,80,false,ORD,North America,Chicago,201,0.00
52.12.66.119,8080,80,false,ORD,North America,Chicago,199,0.00
52.12.66.119,2096,80,false,ORD,North America,Chicago,205,0.00
35.88.124.209,8443,80,false,ORD,North America,Chicago,220,0.00
52.12.66.119,2086,80,false,ORD,North America,Chicago,198,0.00
54.191.106.181,2086,80,false,ORD,North America,Chicago,195,0.00
54.191.106.181,8080,80,false,ORD,North America,Chicago,211,0.00
54.191.106.181,2087,80,false,ORD,North America,Chicago,208,0.00
54.191.106.181,2096,80,false,ORD,North America,Chicago,209,0.00
54.191.106.181,443,80,false,ORD,North America,Chicago,210,0.00
54.191.106.181,2095,80,false,ORD,North America,Chicago,193,0.00
54.191.106.181,2052,80,false,ORD,North America,Chicago,198,0.00
34.208.202.108,2095,80,false,ORD,North America,Chicago,202,0.00
13.40.52.39,8880,80,false,ORD,North America,Chicago,153,0.00
35.179.75.221,2053,80,false,ORD,North America,Chicago,161,0.00
18.132.201.250,2095,80,false,ORD,North America,Chicago,155,0.00
54.212.112.218,8443,80,false,ORD,North America,Chicago,201,0.00
54.212.112.218,443,80,false,ORD,North America,Chicago,215,0.00
54.212.112.218,2053,80,false,ORD,North America,Chicago,202,0.00
54.212.112.218,2096,80,false,ORD,North America,Chicago,214,0.00
54.212.112.218,2095,80,false,ORD,North America,Chicago,217,0.00
54.212.112.218,2087,80,false,ORD,North America,Chicago,200,0.00
44.226.167.102,80,80,false,ORD,North America,Chicago,211,0.00
54.212.112.218,2052,80,false,ORD,North America,Chicago,201,0.00
54.212.112.218,80,80,false,ORD,North America,Chicago,201,0.00
54.212.112.218,8080,80,false,ORD,North America,Chicago,213,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.228.50.161,443,443,true,SIN,Asia Pacific,Singapore,1,0.00
52.221.254.206,2053,443,true,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.191.184,80,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
3.0.211.254,80,8080,false,SIN,Asia Pacific,Singapore,1,0.00
13.229.107.89,2082,80,false,CGK,Asia Pacific,Jakarta,2,0.00
13.229.75.206,2086,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,4,0.00
13.213.206.28,443,443,true,SIN,Asia Pacific,Singapore,26,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,68,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,70,0.00
13.238.235.196,2083,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2053,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2052,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2096,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2096,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.129.232,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2053,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.237.223.44,2052,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2087,80,false,SYD,Oceania,Sydney,93,0.00
54.79.208.59,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.129.232,2083,80,false,SYD,Oceania,Sydney,93,0.00
54.79.176.136,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2086,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2083,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2087,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2096,80,false,SYD,Oceania,Sydney,94,0.00
54.79.129.232,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,94,0.00
54.79.190.249,2083,80,false,SYD,Oceania,Sydney,94,0.00
54.79.190.249,2082,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2086,80,false,SYD,Oceania,Sydney,94,0.00
54.79.197.209,2082,80,false,SYD,Oceania,Sydney,94,0.00
54.79.197.209,2053,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,94,0.00
54.79.10.40,2095,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2053,80,false,SYD,Oceania,Sydney,95,0.00
54.79.197.209,2052,80,false,SYD,Oceania,Sydney,96,0.00
96.0.144.5,80,80,false,SIN,Asia Pacific,Singapore,111,0.00
96.0.147.114,443,80,false,SIN,Asia Pacific,Singapore,113,0.00
96.0.148.215,80,80,false,SIN,Asia Pacific,Singapore,115,0.00
96.0.147.114,80,80,false,SIN,Asia Pacific,Singapore,115,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,153,0.00
13.36.162.145,2096,80,false,CDG,Europe,Paris,153,0.00
13.36.162.145,2082,80,false,CDG,Europe,Paris,154,0.00
13.36.162.145,2052,80,false,CDG,Europe,Paris,154,0.00
13.36.24.111,2095,80,false,CDG,Europe,Paris,159,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,160,0.00
13.36.63.124,2087,80,false,CDG,Europe,Paris,160,0.00
13.36.253.240,2087,80,false,CDG,Europe,Paris,160,0.00
13.36.63.124,2086,80,false,CDG,Europe,Paris,161,0.00
13.36.162.145,2086,80,false,CDG,Europe,Paris,161,0.00
13.36.162.145,2053,80,false,CDG,Europe,Paris,162,0.00
13.36.162.145,2083,80,false,CDG,Europe,Paris,162,0.00
52.56.243.72,80,80,false,LHR,Europe,London,162,0.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,162,0.00
52.29.124.253,80,80,false,FRA,Europe,Frankfurt,163,0.00
54.216.89.4,2052,80,false,LHR,Europe,London,163,0.00
13.36.63.124,2082,80,false,CDG,Europe,Paris,165,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,165,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,165,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,165,0.00
13.43.173.97,8080,443,true,LHR,Europe,London,166,0.00
